title,sentences,num_words
Davenport hits out at Wimbledon, World number one Lindsay Davenport has criticised Wimbledon over the issue of equal prize money for women.,17
Davenport hits out at Wimbledon,"Reacting to a disputed comment by All England Club chairman Tim Phillips, the American said: ""I think it is highly insulting if prize money is taken away.",27
Davenport hits out at Wimbledon,"""Somebody, I think it was Mr Phillips, said they won't have money for flowers at Wimbledon.",16
Davenport hits out at Wimbledon,"That's insulting.""",2
Davenport hits out at Wimbledon,"An All England club spokesperson denied Phillips made the remark, insisting: ""He definitely didn't say it.""",16
Davenport hits out at Wimbledon,"The statement added: ""It was said by someone else and was a humorous aside at the end of a radio interview when the conversation had moved to talking about the Wimbledon grounds.""",32
Davenport hits out at Wimbledon,Davenport was speaking following the announcement that this week's Dubai Duty Free event will join the US and Australian Opens in offering equal prize money for women.,27
Davenport hits out at Wimbledon,"""You hear about women playing only three sets while men play five,"" said Daveport.",14
Davenport hits out at Wimbledon,"""And the best women are never going to beat the best men.",12
Davenport hits out at Wimbledon,"""But it's a different game you go to watch with the women - it doesn't make it better or worse.",19
Davenport hits out at Wimbledon,"""Hopefully we will be able to change people's minds.""",9
Davenport hits out at Wimbledon,"Serena Williams, who is also in Dubai, added: ""I'm obviously for equal prize money.",14
Davenport hits out at Wimbledon,"""Women's tennis is exciting.",4
Davenport hits out at Wimbledon,"Men's tennis is exciting as well, but the women have it right now.",13
Davenport hits out at Wimbledon,"""If you are bringing in the spectators you should be able to reap what everyone else is able to reap.""",20
Camera phones are 'must-haves'," Four times more mobiles with cameras in them will be sold in Europe by the end of 2004 than last year, says a report from analysts Gartner.",26
Camera phones are 'must-haves',"Globally, the number sold will reach 159 million, an increase of 104%.",10
Camera phones are 'must-haves',The report predicts that nearly 70% of all mobile phones sold will have a built-in camera by 2008.,16
Camera phones are 'must-haves',"Improving imaging technology in mobiles is making them an increasingly ""must-have"" buy.",12
Camera phones are 'must-haves',"In Europe, cameras on mobiles can take 1.3 megapixel images.",9
Camera phones are 'must-haves',"But in Japan and Asia Pacific, where camera phone technology is much more advanced, mobiles have already been released which can take 3.2 megapixel images.",24
Camera phones are 'must-haves',"Japan still dominates mobile phone technology, and the uptake there is huge.",12
Camera phones are 'must-haves',"By 2008, according to Gartner, 95% of all mobiles sold there will have cameras on them.",14
Camera phones are 'must-haves',"Camera phones had some teething problems when they were first launched as people struggled with poor quality images and uses for them, as well as the complexity and expense of sending them via MMS (Multimedia Messaging Services).",37
Camera phones are 'must-haves',This has changed in the last 18 months.,7
Camera phones are 'must-haves',Handset makers have concentrated on trying to make phones easier to use.,12
Camera phones are 'must-haves',"Realising that people like to use their camera phones in different ways, they have introduced more design features, like rotating screens and viewfinders, removable memory cards and easier controls to send picture messages.",33
Camera phones are 'must-haves',Mobile companies have introduced more ways for people to share photos with other people.,14
Camera phones are 'must-haves',"These have included giving people easier ways to publish them on websites, or mobile blogs - moblogs.",16
Camera phones are 'must-haves',"But the report suggests that until image quality increases more, people will not be interested in printing out pictures at kiosks.",21
Camera phones are 'must-haves',Image sensor technology inside cameras phones is improving.,8
Camera phones are 'must-haves',"The Gartner report suggests that by mid-2005, it is likely that the image resolution of most camera phones will be more than two megapixels.",24
Camera phones are 'must-haves',"Consumer digital cameras images range from two to four megapixels in quality, and up to six megapixels on a high-end camera.",21
Camera phones are 'must-haves',But a lot of work is being done to make camera phones more like digital cameras.,16
Camera phones are 'must-haves',"Some handsets already feature limited zoom capability, and manufacturers are looking into technological improvements that will let people take more photos in poorly-lit conditions, like nightclubs.",26
Camera phones are 'must-haves',"Other developments include wide-angle modes, basic editing features, and better sensors and processors for recording film clips.",17
Camera phones are 'must-haves',Images from camera phones have even made it into the art world.,12
Camera phones are 'must-haves',"An exhibition next month in aid of the charity Mencap, will feature snaps taken from the camera phones of top artists.",21
Camera phones are 'must-haves',"The exhibition, Fonetography, will feature images taken by photographers David Bailey, Rankin and Nan Goldin, and artists Sir Peter Blake, Tracey Emin and Jack Vettriano.",25
Camera phones are 'must-haves',But some uses for them have worried many organisations.,9
