topic_x,title,summary
0,Director Nair's Vanity project,But Nair said that her film had picked up on the way Thackeray - who was born in India but moved to England as a young man - had seen the world.
0,Director Nair's Vanity project, Indian film director Mira Nair has said she was thrilled to be given the chance to make William Makepeace Thackeray's novel Vanity Fair - as the book has been a favourite through her life.
0,Director Nair's Vanity project,"""They offered me their next-best thing, not realising that Vanity Fair had actually been one of my favourite novels since I was 16 years old in an Irish Catholic boarding school in India."""
0,Paris promise raises Welsh hopes,Wales have some way to go before they can be remotely considered in a similar light.
0,Paris promise raises Welsh hopes,"But since they threw off the shackles against New Zealand in the 2003 World Cup, Wales have rediscovered much of what made them a great rugby nation in the first place."
0,Paris promise raises Welsh hopes,"But in resisting a seemingly unstoppable wave of French pressure in a nail-biting final five minutes, Wales showed not only their physical attributes but their mental resolve."
0,Brown names 16 March for Budget,The annual event is when the chancellor outlines the government's taxation and broader economic predictions.
0,"Nat Insurance to rise, say Tories","On the tax questions, he added: ""We will make commitments on tax at the time of the manifesto."""
0,PM apology over jailings,"However, one of the so-called Guildford Four, Gerry Conlon - who was wrongly convicted of planting the bombs - said the families were delighted with the apology."
1,Broadband soars in 2004,"Another big piece of news for broadband users in 2004 was the extension of BT's reach, meaning more than 95% of the population could get broadband, regardless of how far away from the exchange they lived."
1,Broadband soars in 2004,For those who became broadbanders in 2004 there was no turning back and the days of waiting for the modem to kick in began to seem as outdated an idea as a jungle without celebrities.
1,Broadband soars in 2004,"It will mean the UK will finally catch up with countries such as France and the Netherlands, where homes are routinely enjoying speeds of up to 15Mb (megabits per second)."
1,More women turn to net security,"Security software should be easy to use, with simple interfaces and instructions written in non-technical language, he added."
1,More women turn to net security,"Viruses written to make headlines by infecting millions are also getting rarer, according to net security experts."
1,Rich pickings for hi-tech thieves,No longer do virus writers produce programs to show off their technical prowess to rivals in the underground world of malware authors.
1,Yahoo moves into desktop search,"""We are all getting more and more files on our desktop but the real commercial opportunity lies with linking this through to web content,"" said Julian Smith, an analyst with research firm Jupiter."
1,Mobiles get set for visual radio,"As well as details on the track or artist of a particular song, there is also the ability to interact immediately with the radio station itself, in a similar way to digital television's ""red button"" content."
1,Mobiles get set for visual radio,"""If you have a Visual Radio enabled handset, when you hear an artist you don't know, or there's a competition or vote that you'd like to participate in, you pull out your handset and with one click you turn on a visual channel parallel to the on-air broadcast you've just been listening to."""
1,Yahoo moves into desktop search,The desktop search technology has been licensed from a US-based firm X1 Technologies.
1,Yahoo moves into desktop search,"Users can search under a variety of criteria, including file name, size, date and time."
1,Game makers get Xbox 2 sneak peek,"To this end Microsoft was building in to Xbox hardware systems to support headset chat, buddy list controls and custom soundtracks so developers were free to concentrate on the games."
1,Mobiles get set for visual radio,"That visual channel is run from a computer within the radio station, and sends out different kinds of information to the handset depending on what you are listening to."
1,Fast lifts rise into record books,Curiously the lifts take longer to descend and spend almost a whole minute returning to ground level from the top of the TFC Tower.
1,Local net TV takes off in Austria, An Austrian village is testing technology that could represent the future of television.
1,Fast lifts rise into record books,The Guinness Book of Records has declared the 17m per second speed of the two lifts the swiftest on Earth.
1,Local net TV takes off in Austria,Any video programme created by the villagers is uploaded to a Buntes Fernsehen portal that lets people browse and download what they want to watch.
1,Game makers get Xbox 2 sneak peek,"He said gaming was entering a ""high-definition"" era that demanded detailed and convincing graphics that could adequately compete with the HDTV people were starting to watch as well as the HD DVDs that will soon start to appear."
1,Local net TV takes off in Austria,In October a larger TV-on-demand project is due to launch in Vienna that will let people download many programmes from the net.
1,&#163;1.8m indecency fine for Viacom,"Viacom has five days to pay the $3.5m fine, according to the agreement."
1,&#163;1.8m indecency fine for Viacom,"Infinity Broadcasting, which is owned by Viacom, paid cumulative fines totalling $1.7m (£907,000) in 1995 to settle FCC violations by Stern."
1,&#163;1.8m indecency fine for Viacom,It also agreed to train its broadcasters and employees about indecency laws.
1,US top of supercomputing charts,IBM test results show that Blue Gene/L has managed speeds of 70.72 teraflops.
1,US top of supercomputing charts,In second place was Silicon Graphics' Columbia supercomputer based at the US space agency's (Nasa) Ames Research Center in California.
1,US top of supercomputing charts,The Blue Gene/L machine that will be completed next year will be five million times faster.
1,Bath faced with Tindall ultimatum,"He has to make it happen."""
1,Rapper 50 Cent ends protege feud,"""I realised that if I'm going to be effective at that, I have to overcome some of my own,"" he said."
1,Double injury blow strikes Wales,"""I thrive on it and think it makes me perform better,"" he said."
1,Fast lifts rise into record books,"Taipei's TFC 101 Tower is more than 50m taller than the Petronas Towers in Kuala Lumpur, Malaysia - formerly the world's tallest skyscraper."
1,Game makers get Xbox 2 sneak peek,"Only with such consistency would the Xbox be able to support the 10-20 million subscribers that it was aiming for, said Mr Allard."
2,Angry Williams rejects criticism,"While Serena is through to the Australian Open semi-finals, Venus went out in the fourth round, meaning she has not gone further than the last eight in her last five Grand Slam appearances."
2,Radcliffe proves doubters wrong,I was speaking to Paula in the lead-up to this race and she said that in many ways she was facing a no-win situation.
2,Radcliffe proves doubters wrong,"If Paula's last experience of the year had been Athens, it would have been very difficult to look forward with any optimism."
2,Radcliffe proves doubters wrong,"Most important of all, despite all the hype in the media ahead of this race, there were never doubts in Paula's mind."
2,Eminem beats Elvis to number one,"Featuring Cliff Richard and Boy George, the song was written by former DJ Mike Read."
2,Sir Paul rocks Super Bowl crowds,His previous production credits included Olympic opening and closing ceremonies.
2,Sir Paul rocks Super Bowl crowds,"This time, he started off the show, at the Alltel Stadium in Jacksonville, Florida, with the Beatles numbers Drive My Car and Get Back."
2,Angry Williams rejects criticism, Serena Williams has angrily rejected claims that she and sister Venus are a declining force in tennis.
2,Dementieva prevails in Hong Kong,"Williams, 24, was disappointed with her display."
3,Brewers' profits lose their fizz,"Heineken increased its dividend payment by 25% to 40 euro cents, but warned that the continued impact of a weaker dollar and an increased marketing spend may lead to a drop in 2005 net profit."
3,Brewers' profits lose their fizz,"Heineken's net income fell to 537m euros ($701m; £371m) during 2004, from 798m euro a year ago."
3,Brewers' profits lose their fizz,Its beer sales have been affected by the sluggish European economy and by the banning of smoking in pubs in several European countries.
3,UK interest rates held at 4.75%,"The ONS said manufacturing output dropped 0.1% in November, matching a similar unrevised fall in October and confounding economists' expectations of a 0.3% rise."
3,UK interest rates held at 4.75%,"""But, if there are clear signs that the economy slows, the MPC should be ready to take quick corrective action and cut rates."
